[2025-10-04 21:27:50,750] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:59,104] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 4ms
[2025-10-04 21:27:59,105] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:59,335] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 7ms
[2025-10-04 21:27:59,336] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:59,336] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:59,336] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 4ms
[2025-10-04 21:27:59,337] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:59,337] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:59,338] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:59,338] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 4ms
[2025-10-04 21:27:59,339] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:59,340] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 8 results, 7ms
[2025-10-04 21:27:59,340] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:27:59,340] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:27:59,341] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:59,341] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:27:59,342] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:27:59,915] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 4ms
[2025-10-04 21:27:59,992] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:28:00,205] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:00,217] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:00,321] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:00,400] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:00,952] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 5ms
[2025-10-04 21:28:00,993] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 5ms
[2025-10-04 21:28:00,993] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:01,335] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 3ms
[2025-10-04 21:28:01,368] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 4ms
[2025-10-04 21:28:01,461] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 5ms
[2025-10-04 21:28:01,481] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 5ms
